13.08
BasicAgentAA,RandomAgent,,532
8.37
BasicAgentAA,RandomAgent,,559
9.96
BasicAgentAA,RandomAgent,,549
6.10
BasicAgentAA,RandomAgent,,570
7.20
BasicAgentAA,RandomAgent,,565
8.23
BasicAgentAA,RandomAgent,,561
9.18
BasicAgentAA,RandomAgent,,554
10.64
BasicAgentAA,RandomAgent,,543
11.03
BasicAgentAA,RandomAgent,,543
22.45
BasicAgentAA,RandomAgent,,469
14.95
BasicAgentAA,RandomAgent,,521
11.65
BasicAgentAA,RandomAgent,,540
26.75
BasicAgentAA,RandomAgent,,447
7.31
BasicAgentAA,RandomAgent,,564
30.20
BasicAgentAA,RandomAgent,,429
18.57
BasicAgentAA,RandomAgent,,499
10.86
BasicAgentAA,RandomAgent,,542
15.59
BasicAgentAA,RandomAgent,,517
6.42
BasicAgentAA,RandomAgent,,572
7.32
BasicAgentAA,RandomAgent,,566
43.75
BasicAgentAA,RandomAgent,smallClassic,1842
86.77
BasicAgentAA,RandomAgent,smallClassic,790
33.20
BasicAgentAA,RandomAgent,smallClassic,1815
69.29
BasicAgentAA,RandomAgent,smallClassic,1200
53.41
BasicAgentAA,RandomAgent,smallClassic,1191
42.94
BasicAgentAA,RandomAgent,smallClassic,1853
114.14
BasicAgentAA,RandomAgent,smallClassic,1407
82.98
BasicAgentAA,RandomAgent,smallClassic,1109
88.82
BasicAgentAA,RandomAgent,smallClassic,674
219.75
BasicAgentAA,RandomAgent,smallClassic,799
27.27
BasicAgentAA,RandomAgent,smallClassic,1444
56.16
BasicAgentAA,RandomAgent,smallClassic,1777
217.67
BasicAgentAA,RandomAgent,smallClassic,613
87.97
BasicAgentAA,RandomAgent,smallClassic,786
139.43
BasicAgentAA,RandomAgent,smallClassic,682
125.20
BasicAgentAA,RandomAgent,smallClassic,1275
70.74
BasicAgentAA,RandomAgent,smallClassic,1591
76.96
BasicAgentAA,RandomAgent,smallClassic,1849
15.99
BasicAgentAA,RandomAgent,smallClassic,1914
104.90
BasicAgentAA,RandomAgent,smallClassic,1391
121.66
BasicAgentAA,RandomAgent,bigHunt,-91
105.27
BasicAgentAA,RandomAgent,bigHunt,5
67.54
BasicAgentAA,RandomAgent,bigHunt,225
430.67
BasicAgentAA,RandomAgent,bigHunt,-1865
49.20
BasicAgentAA,RandomAgent,bigHunt,329
89.91
BasicAgentAA,RandomAgent,bigHunt,99
115.21
BasicAgentAA,RandomAgent,bigHunt,-44
212.18
BasicAgentAA,RandomAgent,bigHunt,-607
413.78
BasicAgentAA,RandomAgent,bigHunt,-1795
127.28
BasicAgentAA,RandomAgent,bigHunt,-133
369.52
BasicAgentAA,RandomAgent,bigHunt,-1533
148.48
BasicAgentAA,RandomAgent,bigHunt,-246
297.19
BasicAgentAA,RandomAgent,bigHunt,-1106
149.43
BasicAgentAA,RandomAgent,bigHunt,-256
242.08
BasicAgentAA,RandomAgent,bigHunt,-772
113.07
BasicAgentAA,RandomAgent,bigHunt,-39
185.42
BasicAgentAA,RandomAgent,bigHunt,-456
66.46
BasicAgentAA,RandomAgent,bigHunt,232
370.36
BasicAgentAA,RandomAgent,bigHunt,-1536
107.37
BasicAgentAA,RandomAgent,bigHunt,-7
7.78
BasicAgentAA,RandomAgent,openHunt,662
12.17
BasicAgentAA,RandomAgent,openHunt,537
41.17
BasicAgentAA,RandomAgent,openHunt,367
32.72
BasicAgentAA,RandomAgent,openHunt,519
6.54
BasicAgentAA,RandomAgent,openHunt,670
7.24
BasicAgentAA,RandomAgent,openHunt,566
7.26
BasicAgentAA,RandomAgent,openHunt,566
24.28
BasicAgentAA,RandomAgent,openHunt,468
7.76
BasicAgentAA,RandomAgent,openHunt,563
10.12
BasicAgentAA,RandomAgent,openHunt,549
228.27
BasicAgentAA,RandomAgent,openHunt,-619
78.18
BasicAgentAA,RandomAgent,openHunt,251
13.51
BasicAgentAA,RandomAgent,openHunt,530
5.49
BasicAgentAA,RandomAgent,openHunt,576
8.01
BasicAgentAA,RandomAgent,openHunt,661
30.97
BasicAgentAA,RandomAgent,openHunt,527
23.13
BasicAgentAA,RandomAgent,openHunt,574
9.95
BasicAgentAA,RandomAgent,openHunt,651
191.51
BasicAgentAA,RandomAgent,openHunt,-421
24.60
BasicAgentAA,RandomAgent,openHunt,463
4.63
BasicAgentAA,RandomAgent,testClassic,680
4.25
BasicAgentAA,RandomAgent,testClassic,682
8.10
BasicAgentAA,RandomAgent,testClassic,859
4.34
BasicAgentAA,RandomAgent,testClassic,482
4.34
BasicAgentAA,RandomAgent,testClassic,681
3.76
BasicAgentAA,RandomAgent,testClassic,685
4.27
BasicAgentAA,RandomAgent,testClassic,782
6.87
BasicAgentAA,RandomAgent,testClassic,767
4.15
BasicAgentAA,RandomAgent,testClassic,883
4.89
BasicAgentAA,RandomAgent,testClassic,678
5.96
BasicAgentAA,RandomAgent,testClassic,872
6.47
BasicAgentAA,RandomAgent,testClassic,569
3.37
BasicAgentAA,RandomAgent,testClassic,488
6.64
BasicAgentAA,RandomAgent,testClassic,869
4.85
BasicAgentAA,RandomAgent,testClassic,779
4.24
BasicAgentAA,RandomAgent,testClassic,683
5.59
BasicAgentAA,RandomAgent,testClassic,774
5.72
BasicAgentAA,RandomAgent,testClassic,874
5.57
BasicAgentAA,RandomAgent,testClassic,674
3.84
BasicAgentAA,RandomAgent,testClassic,885
